Carrier_Name	Delayed pct	median Delay	mean Delay	Occurrences
EasyJet	4.76	12.0	12.0	21
KLM Royal Dutch Airlines	12.47	22.0	25.63	29726
Air Europa	13.06	22.0	26.38	7842
Iberia	14.69	21.0	24.43	6277
Ryanair	17.86	22.0	26.12	5482
SAS	18.21	21.0	25.53	25407
Aer Lingus	18.32	23.0	26.08	6885
British Airways	18.73	22.0	25.56	22951
Lufthansa	21.01	21.0	24.68	45761
Norwegian	21.45	22.0	26.11	4513
Ethiopian	22.58	23.0	27.11	744
LOT	24.11	24.0	27.25	15809
Vueling	29.78	26.0	28.67	5258
Transavia	30.71	23.5	27.45	840
